Submission ID,Respondent ID,Submitted at,idEmpresa,Transportadora principal,Importância - reduzir os custos de frete em cada pedido,Importância - aumentar a competitividade nas modalidades e transportadoras oferecidas aos clientes,Importância - ter flexibilidade para negociar condições comerciais e operacionais de acordo com o porte do seu negócio,Importância - garantir entregas dentro do prazo prometido,Importância - minimizar atrasos ou falhas na coleta e transporte,Importância - oferecer rastreamento claro e atualizado em tempo real ao cliente,"Importância - reduzir o tempo de resolução de problemas de entrega (atrasos, extravios, avarias)",Importância - oferecer suporte proativo e eficiente ao cliente final em caso de problemas,Importância - facilitar a emissão de documentos e etiquetas de forma prática,Importância - receber relatórios e indicadores de desempenho logístico,"Importância - integrar facilmente sua logística com sistemas de gestão (ERP, loja virtual, etc.)",Satisfação - reduzir os custos de frete em cada pedido,Satisfação - aumentar a competitividade nas modalidades e transportadoras oferecidas aos clientes,Satisfação - ter flexibilidade para negociar condições comerciais e operacionais de acordo com o porte do seu negócio,Satisfação - garantir entregas dentro do prazo prometido,Satisfação - minimizar atrasos ou falhas na coleta e transporte,Satisfação - oferecer rastreamento claro e atualizado em tempo real ao cliente,"Satisfação - reduzir o tempo de resolução de problemas de entrega (atrasos, extravios, avarias)",Satisfação - oferecer suporte proativo e eficiente ao cliente final em caso de problemas,Satisfação - facilitar a emissão de documentos e etiquetas de forma prática,Satisfação - receber relatórios e indicadores de desempenho logístico,"Satisfação - integrar facilmente sua logística com sistemas de gestão (ERP, loja virtual, etc.)",Pontos positivos,Pontos negativos
PdG6BM0,zxxxLK1,2025-09-22 14:48:34,14879897083,Correios,10,10,10,10,10,10,10,10,10,10,10,5,5,8,6,7,6,5,5,8,6,5,"facilidade de integracao, e emissao de etiquetas ","valores, problemas na entrega, e prazos "
WOjND2a,xXXXz1d,2025-09-22 14:56:25,876694699,Correios,8,10,9,10,10,10,10,10,10,8,10,7,8,6,7,10,9,6,6,10,7,9,"- Coleta na origem por agencia franqueada dos Correios
- Impressão de etiquetas e rastreamento de boa qualidade
- Faturamento e pagamento mensal por boleto
- Cobertura nacional e sem muita variação de preço conforme o local de destino","- Preço competitivo mas nem sempre é o mais baixo, principalmente quando o destino é outro estado
- Solução de problemas pós-venda"
D4ZNZqE,obbbxWx,2025-09-22 15:04:04,14880046892,MelhorEnvio,9,10,5,10,10,10,10,10,10,8,10,9,9,5,8,8,8,9,8,7,8,8,"Praticidade, integração simples",Rastreio não atualizam automaticamente dentro da plataforma do ecommerce
D4ZNPyR,rjjjbz2,2025-09-22 15:34:23,14879071708,Correios,10,10,10,10,10,7,10,7,10,8,10,3,5,6,9,9,7,5,7,5,6,7,"Funciona, não tenho problemas de extravio e perca. Entregas funcionam","Custo alto e não retiram, tenho que levar até um ponto de colheta"
44p80rb,MeeeZOA,2025-09-22 15:48:52,14878993599,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,8,9,9,10,10,10,10,"Ter coleta no meu endereço é extremamente importante e a coleta deles funciona super bem, e o atendimento para resoluções de problemas com os envios também é bem rápida e eficiente.",No momento não tenho nenhum ponto negativo para informar.
EkNXo2N,obbb87O,2025-09-22 15:55:42,14879269165,Enviali,10,10,10,10,10,10,10,10,10,10,10,5,3,6,9,9,7,5,5,10,8,5,Estar integrada ao meu sistema e ja enviar as informações diretamente para o cliente,nao nos dar opção de usar outras alternativas sem ter que pagar taxas a mais e não ter a mesma facilidade para usar
q4kd0a7,vGGGlzQ,2025-09-22 16:22:24,8437388482,Enviali,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,todos,nemhum
dWkYjGo,Xxx5oaL,2025-09-22 17:51:56,14879859663,"Transportadora local para peças grandes, mas só consegue atender até 200 km de São Paulo",10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,"Vendo peças grandes, tais como capos,  parachoques, portas e etc.
Mas uma transportadora que faz pra mim só  atende algumas cidades próximas até  200 km de São Paulo. ","Vendo peças grandes, tais como capos,  parachoques, portas e etc.
Mas uma transportadora que faz pra mim só  atende algumas cidades próximas até  200 km de São Paulo. "
jakB7Z1,Mee1E1X,2025-09-22 17:53:33,14880560169,MelhorEnvio,10,10,10,10,10,10,10,10,10,7,10,7,7,7,6,6,4,5,5,7,6,7,autonomia,"não estou conseguindo enviar os dados de pedidos feitos manualmente no bling para o melhor envio como algum tempo atrás, antes apo´s emitir a nota fiscal os dados eram enviados para o melhor envio automaticamente, agora está dando erro, não consegui reparar e todos os pedidos manuais tenho que digitar todos os dados no melhor envio para comprar a etiqueta, preciso de ajuda  mas nao sei como contatar o suporte de vocês
"
PdGAXbQ,lbba6RX,2025-09-22 17:55:37,4007592747,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,8,7,7,9,8,8,3,3,8,8,8,"Compra de etiquetas, coleta.","Suporte ao cliente via mensagem, demora demais pra solucionar um problema... todas as etiquetas tem o telefone do cliente, mesmo assim quando tem falha na entrega nem tentam contato com o cliente... comprovante de entrega com POUCA informação."
EkNPbNX,dWWb9Ld,2025-09-22 18:00:47,14879624902,Correios,8,8,9,10,10,10,10,10,9,9,9,3,3,1,0,0,0,0,0,7,4,4,"Capilaridade, abrangência  de localidades atendidas.","quando acontece alguma ocorrência, não conformidade com a entrega; atraso na entrega, estravios, os canais de atendimentos não são suficientes apra dar um retorno ágil e rápido apra a situação. É muito demorado. Cliente fica sem informação atualizada."
EkNP9PN,b55ZvW0,2025-09-22 19:56:58,14880595397,MelhorEnvio,8,9,5,9,10,8,8,8,8,8,10,6,6,5,9,9,8,8,7,8,5,8,"Pré definição clara de valor
Custo acessível
integração",Prazo
jakMdQJ,QKK1REX,2025-09-23 00:24:47,14879902793,Correios,10,10,10,10,10,10,10,10,10,10,10,0,0,0,2,0,7,5,5,8,7,5,Tem cobertura de entrega para todo o Brasil.,"Espera na fila para postagem de mais de 1h, atrasos em vários objetos, altos custos e suporte ruim."
PdG0pOB,D44Bz6l,2025-09-23 00:44:09,953982220,Jadlog,10,10,10,10,10,10,10,10,10,8,10,8,7,1,9,8,10,1,1,10,1,10,"Preço excelente, facilidade em deixar o material, praticidade na emissao dos documentos","Se precisar falar com um ser humano pra resolver qualqurr coisa, esquece. se ocorrer qualquer situação diferente já era!!  Nao tem retorno, nao tem prazo razoavel ... melhor aceitar que tu perdeu a venda e o material. Depois de longos meses eles reembolsam. "
VL48jpa,Y55PWdz,2025-09-23 00:48:31,14879698942,não quero responder qualquer pesquisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GOSTARIA QUE FOSSE OPÇÃO RESPONDER QUALQUER PESQUISA ,todos 
lbM707N,A77KoYl,2025-09-23 10:33:24,14879759937,Total Express,10,7,8,9,10,10,10,10,10,8,10,7,8,8,9,10,6,8,8,10,7,8,"Atendimento, agilidade em problemas e coletas","Acredito que seria o rastreio para o cliente, deveria ter mais informações"
9qoEpVG,vGGeGBd,2025-09-23 10:44:02,14880056969,MelhorEnvio,10,7,8,10,10,9,10,10,10,10,10,4,6,3,8,8,9,8,5,10,5,5,Ter diversos meios de logiśtica,"Dificuldade de comunicação com suporte. Preços elevados para clientes que estão começando. Não faz integração com nosso contrato dos correios. Nem o bling, só a partir de planos superiores."
KYaJZ5g,5BBj9qP,2025-09-23 11:18:07,14880126478,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,7,5,2,4,5,8,4,4,3,4,2,"pontos positivos, imprimir etiquetas pelo bling ","pontos negativos, não tem uma lista de separação detalhada de cada itens e remessa para um dia específico "
PdGXZxB,jaa6Q1Y,2025-09-23 11:41:37,14880485781,Loggi,10,9,10,10,10,10,10,10,10,8,10,8,8,8,6,5,4,7,6,6,4,6,Coleta e emissão de etiqueta com integração com a loja,"Rastreio confuso e nada prático para o cliente, e muitas encomendas são entregues avariadas e muitos entregadores dizem que entregaram, mas não entregaram nada, ai tem que abrir chamado para saber o que aconteceu, e muitas vezes eles vão lá entregar sometne depois da reclamação."
jak78jJ,vGGGlzQ,2025-09-23 11:41:43,8437388482,Enviali,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,otima,nenhum
A7jqelo,obbeyGP,2025-09-23 11:43:18,706426736,MelhorEnvio,10,10,7,10,10,10,10,10,10,7,10,9,9,7,9,9,9,8,8,8,7,0,preço ,"coleta, ponto de coleta"
7RpVkM0,xXXMpk9,2025-09-23 11:48:20,420061141,Total Express,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,10,8,6,4,7,8,Possibilidade de emissão de etiqueta apenas com a DECLARAÇÃO DE CONTÉUDO.,Impressão não agrupada das etiquetas.
7RpVky9,7RRLdx0,2025-09-23 11:49:32,14879200311,MelhorEnvio,9,9,8,10,10,10,10,10,10,10,10,7,5,5,6,1,0,0,0,8,3,3,"Praticidade para envios e cotações, preços baixos.","Dificuldade para soluções caso haja problemas com entregas, alguns modelos logisticos não estão disponiveis para minha região, suporte para cliente e remetente muito demorado e não soluciona nada."
dWkD70y,2EEakRV,2025-09-23 11:58:47,14879437734,Enviali,10,10,10,10,10,10,10,10,10,10,10,5,5,3,7,7,7,5,5,10,5,5,facilidade de usar o sistema ,"valores de frete mais altos em comparação a outros lojas que comparamos os preços . Mais opções de empresas que oferecem o serviço de transportes , especialmente fora de sp e outros estados, demora nos retornos das duvidas mais especificas junto a central "
ZjZz4RB,2EEavjg,2025-09-23 12:15:39,14879636881,R3 Express,10,10,10,10,10,10,10,10,10,6,10,10,9,5,8,8,2,0,0,6,10,6,Entrega rápida e alta taxa de sucesso.,"Equipe insuficiente para contornar problemas na entrega, falta de sistema de rastreio e impossibilidade de reduzir a faixa de horário de entrega (como por exemplo não fazer entregas depois das 23h ou selecionar horarios de clientes que operam em horário comercial)."
1Ap2VyW,KYY5vB8,2025-09-23 12:50:40,8223741527,Frenet,10,8,7,10,10,10,10,10,9,10,10,7,8,7,9,6,9,7,7,9,8,8,"Poder comparar diferentes transportadoras em um só lugar facilita bastante o processo de decisão, e também da mais opções ao nosso cliente final. Os fretes também tem preços mais competitivos do que os convencionais, sem contrato.","Acredito que da para tornar os fretes ainda mais competitivos e melhorar o suporte aos pedidos. Muitas vezes a responsabilidade de erros e da demora no retorno é jogada totalmente para a transportadora. Algo que me incomoda é a falta de clareza em relação ao status dos nossos envios (quantos estão em andamento, quantos já foram entregues, quantos estão com informações pendentes). Já aconteceram algumas vezes de um pedido necessitar de mais informações de endereço e eu não ficar sabendo, porque não consigo abrir todos os rastreios diariamente. Dessa forma os produtos acabaram retornando a loja por perda do prazo estabelecido para completar as informações. Sendo que se tivesse um dashboard, todo esse processo seria bem mais fácil, até para poder orientar e informar nossos clientes."
QKOB5Qg,NpplbqQ,2025-09-23 12:54:47,10151289521,Correios,8,10,9,10,9,10,10,10,7,8,9,6,6,5,6,7,8,7,5,4,3,4,"abrangência na entrega, com um custo baixo.","identificação do produto, sistema de cadastro de mercadoria, integração com meu ERP."
PdGBga5,2EEazbA,2025-09-23 13:55:13,7828822637,MelhorEnvio,5,10,10,10,10,10,10,10,10,10,10,5,8,8,8,10,10,9,9,10,5,10,"As cotações mesmo não sendo as mais baratas, nos traz um retorno rápido em questão de valores e o processo é bem ágil também, fazendo nosso processo geral ficar mais rápido.",O ponto negativo seria o valor do frete.
Xx2BAqe,A772eDB,2025-09-23 14:06:48,596157500,Correios,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,NNNNN,NNNNN
q4kEQpY,Pdd1JP1,2025-09-23 14:07:35,8214023950,Correios,10,10,10,10,10,10,10,10,10,10,10,6,6,1,8,7,8,2,2,3,3,4,Emissao de etiqueta em pré-postagem que permite deixar os pacotes na agencia de correios sem precisar pegar fila para postar.,"quanto há algum atraso na entrega, não há um canal de atendimento que forneça informações além do rastreamento e nem mesmo que ofereça alguma solução."
PdGBKDP,lbbepXk,2025-09-23 14:25:25,14879571033,MelhorEnvio,10,7,6,9,10,8,8,8,10,6,10,8,8,6,8,7,6,5,3,6,6,7,Variedade de opções com preços geralmente bons,"Falta de coleta, muitos passos diferentes para realizar uma emissão de etiquetas, pagamento complexo, visibilidade ruim do que tem a emitir, a enviar etc."
D4ZXo2l,dWWb9Ld,2025-09-23 16:16:06,14879624902,Jadlog,8,9,10,10,10,8,9,10,8,9,8,1,2,0,0,0,2,0,0,3,2,3,"abrangência de atender grande parte do Brasil, grandes e pequenos centros.","Atendimento ao cliente, muito fraco, sem retorno, respostas sobre ocorrências. Acessibilidade ao atendimento humano muito ruim. Somente por e-mail e demora muito para termos um retorno e solucionar problemas"
vGd0Q00,0QQ8klB,2025-09-23 16:53:49,14879882611,AZUL CARGO TRANSPORTES,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,"Azul cargo é a melhor empresa, empresas terrestres são mais caras e piores - muita avaria, atraso e problema.",Apenas o alto custo para grande volume
xXl96Yo,kddGVYe,2025-09-23 18:44:34,14880012136,Correios,10,9,10,9,8,9,9,9,9,8,9,7,6,4,9,8,9,6,7,10,10,9,CREDIBILIDADE.,ALGUNS ATRASOS.
eqY9oOO,NppXegN,2025-09-23 18:47:05,14879550564,Correios,10,5,10,10,10,10,10,10,10,10,10,5,5,5,8,5,6,10,8,8,8,10,estou começando agora,"ENVIOS 
Divulgação"
1ApG0p1,J99OqvX,2025-09-23 19:20:45,14880521531,Correios,10,10,9,10,9,9,8,10,9,8,10,6,2,2,5,8,7,6,7,7,7,6,Seguro,Valor
VL4vZ1a,1AA9b4l,2025-09-23 21:08:22,592617650,azul cargo,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,6,7,6,8,7,7,mais rapido que o anterior (correios),rastreio
2ED1lM9,kddNzOR,2025-09-23 22:02:59,9760605362,Correios,10,10,10,10,10,10,10,10,10,10,10,2,4,6,6,6,7,6,6,7,2,5,Poucos casos de extravio e entregas fora do prazo.,Valores caros e dificuldade para geração de etiquetas.
GxQXM9p,7RRNrR2,2025-09-23 23:47:29,1474536023,Enviali,10,10,8,10,10,10,10,9,8,8,9,7,7,7,8,9,9,8,8,8,8,9,Facilidade e praticidade para gerar etiquetas. ,Gostaria de um processo mais automatizado.
vGdKRrd,Pdd5PQb,2025-09-24 10:41:44,11109026415,Loggi,0,10,10,10,10,10,10,10,10,10,10,2,4,10,9,0,6,4,6,4,1,1,ponto de coleta proximo,não consegue emitir frete utilizando o xml
PdGkaj0,jaaQpvR,2025-09-24 10:54:19,1137193910,MelhorEnvio,10,7,7,9,8,8,8,8,10,5,8,9,8,7,9,8,8,8,8,5,8,8,-,-
NpRPA4B,gDDMojd,2025-09-24 11:50:38,14880516319,Frenet,5,10,10,10,10,10,10,10,10,10,10,4,7,10,10,10,10,8,8,6,7,10,"Preço, facilidade de integração","Não emite etiquetas em transportadoras com tabela especial negociada, não tem opção multi cd, não tem um suporte suficientemente bom para indicação de transportadora para reduzir o custo de frete, o que é muito importante para nossos produtos de ticket médio mais alto e produtos maiores e mais pesados"
b56zXK2,4448QLk,2025-09-24 13:08:19,8658605944,nuvens envio e melhor envio,10,10,0,7,8,10,10,10,10,7,10,5,5,0,7,5,7,5,5,2,5,0,locais de entrega dos pacotes sao muito próximos ,preço
b56zoAZ,Y55QGEz,2025-09-24 13:32:27,7014975514,Total Express,10,10,8,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,"Ótimas tarifas, entregas no prazo, ótima integração com o Bling, pedido  de coleta gerada automaticamente e Excelente suporte em caso de problemas. ",Nenhum
44pOZNB,b557W4e,2025-09-24 13:35:21,14183177840,Correios,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,6,5,5,5,5,5,.,.
0QDAOMy,J996LY4,2025-09-24 14:18:53,14830650861,MelhorEnvio,8,8,4,10,10,9,10,10,4,4,10,9,9,4,7,6,6,2,3,5,7,7,Melhor custo beneficio,"quando tem problema de atraso, a devolução do valor do frete vai pra eles"
RGVrk6J,pbbKv7E,2025-09-24 15:13:31,14880214950,Envie Agora,10,8,9,10,10,10,10,10,8,8,10,8,7,9,7,6,7,5,6,8,8,9,Coleta na empresa e muitas opções com transportadora e Correios,Dificuldade de abertura de chamado e comprometimento com a entrega.
ZjZQqOB,Pdd6QB5,2025-09-24 16:16:39,14879090942,Correios,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,segurança,morosidade na entrega ao comprador final
eqYokEO,zxxqBGq,2025-09-24 16:17:16,14879096929,MelhorEnvio,9,8,9,10,10,10,10,10,10,7,8,7,9,9,9,9,9,10,7,4,9,8,"Agilidade, proatividade","pouca facilidade, dificuldade no atendimento pessoal"
J9WGD84,2EE48Aj,2025-09-24 17:33:27,14879579541,Correios,10,2,10,10,10,10,10,10,10,10,10,9,2,5,9,10,8,0,0,7,4,8,"preço, coleta e entrega ",suporte péssimo quando atrasa
WOjQxga,WOOAYYe,2025-09-24 19:38:21,402259116,Correios,10,10,10,10,10,10,10,10,10,10,10,6,5,0,10,10,8,8,5,6,5,8,"É o menor custo do mercado para pequenos volumes.
Entrega em todo o Brasil e, em geral, as falhas na entrega são mínimas.","Os valores ainda são altos para pequenos volumes. O livro costuma ser mais barato que a taxa dos correios.
Tenho dificuldade em conseguir coletas. Em geral tenho que levar o pacote ao correio."
eqYpEOJ,vGGNWyv,2025-09-24 21:08:22,14880044761,Frenet,10,10,10,10,10,10,10,10,10,10,10,0,0,1,7,4,8,7,3,1,0,8,"Fácil uso, preço baixo","Muitas falhas e erros de cálculos de frete, lentidão na geração. Gestão de documentos ruim."
obkp0o5,obbApLN,2025-09-24 21:31:48,8909820586,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,3,3,3,6,7,3,1,1,10,5,10,Integração com bling,Os marcados nas perguntas anteriores
2ED5ANe,vGGBXAv,2025-09-25 00:52:53,6184149444,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,6,5,4,8,9,6,6,6,6,6,6,Emissão de etiquetas rapido,"Somente para produtos de porte pequeno entrega via correios, ter credito para gerar etiquetas de envio, ratreabilidade, falta de opção de transportadoras"
q4kXPJg,VLL8kJM,2025-09-25 12:39:40,11312961998,MelhorEnvio,10,5,10,10,10,10,10,10,10,10,10,8,10,8,7,6,5,6,5,8,8,6,Custos de frete e entrega rapida,rastreio
KYaA2W8,Pddl69e,2025-09-25 13:52:59,565389095,Correios,10,10,10,10,10,10,10,10,10,10,10,8,7,8,8,9,8,4,4,10,6,10,.,.
J9WbPZ7,kdd5AXj,2025-09-25 14:07:49,45275186,FM Transportes e CUBBO,10,10,10,10,10,10,10,10,10,10,10,8,6,10,5,7,3,5,4,10,4,9,"integração com Bling, possibilidade de negociação por volume",SLA inferior aos 90%
obkZR5x,GxxLXQo,2025-09-25 14:53:05,10467827012,Central do Frete,10,4,6,10,10,10,10,10,10,7,10,5,4,7,8,7,10,8,5,10,3,3,"Ela tem uma mínima integração com o Bling em que traduz os dados dos clientes, tem um envio intuitivo e prático dentro da plataforma.","Ela não compreende que os materiais vendidos não são enviados individualmente e não realiza a cubagem do material no envolucro/caixa cadastrado, todos os pedidos precisam ser reavaliados."
obkNe5N,7RRvbX2,2025-09-25 17:40:26,12751613987,Total Express,10,10,6,10,5,3,5,4,4,5,5,5,6,6,6,6,3,5,5,5,4,5,Por as vezes ter um valor melhor que correio ,"INTEGRAÇÃO RUIM , SEM SER CLARO A INFOMRAÇÃO PARA O CLIENTE "
gDkPkVO,PddYYOb,2025-09-25 18:57:24,11839777738,MelhorEnvio,10,9,10,10,10,10,10,10,10,10,10,6,7,5,7,5,9,4,4,4,2,1,variedade de transportadoras,"não são pro ativos, as vezes não retorna o preço do frete em tela, não tem canal de atendimento."
Y5x7RL5,dWWjovr,2025-09-25 21:18:24,8811467513,MelhorEnvio,10,10,9,10,7,8,8,5,10,7,8,6,10,7,10,7,8,7,5,10,7,8,Como utilizo o Melhor Envio fica faltando um posto de coleta mais próximo do meu escritório ou mesmo meu Depósito.,"Pontos de coleta mais próximos, considerando que não oferecem coleta em meu endereço."
68pl5E5,GxxovL2,2025-09-26 12:20:10,7999912123,Transporte Próprio,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,"Hoje como usamos 90% de logística própria estou satisfeito, mas gostaria de tercerizar esse serviço, pois como temos uma demanda nacional ","Gera impacto no escalonamento, pois priorizamos as nossas vendas em São Paulo, Rio e Minas, e poderia abrir um mercado bem maior com uma solução logistica mais competivia."
D4Z8RKl,aQQj9aB,2025-09-26 12:40:48,10024622654,Correios,9,8,8,8,9,10,8,9,9,8,9,5,6,3,5,5,5,7,5,7,6,5,Modernidade digital.,Pouca interatividade. 
vGdlMJA,zxx0K8Z,2025-09-26 13:32:51,7744151172,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,7,7,5,8,8,6,6,3,5,6,5,"custo do frete,pontualidade na entrega.posto de coleta de facil acesso, suporte agil resolutivo e facil contato","sem suporte agil, dificil contato e ponto de coleta de dificil acesso"
lbMxxrp,vGG052D,2025-09-26 15:42:18,14879337912,Jadlog,6,10,9,10,10,10,8,10,10,10,8,3,5,3,1,4,5,3,3,4,7,5,São muitas transportadores disponíveis.,"Por dificuldade de comunicação, por não ter um atendente pessoal para ajudar na dificuldade e na necessidade, as transportadoras falham. eu por exemplo tenho um produto com uma dimensão pouco fora do convencional, não consigo me cntato verbal, com a jadlog, com melhor envio que entendam a minha necessidade e ofereçam um serviço. deixo de vender por não ter como entregar, tudo por falta de comunicação verbal das transportadoras."
EkNpgBr,rjj2VGo,2025-09-26 17:57:38,14880252098,MelhorEnvio,10,5,10,10,10,10,10,10,10,10,10,5,8,5,10,2,5,4,4,6,10,10,SEM PROBLEMAS,SEM PROBLEMAS
Me7BzDp,QKK8pz1,2025-09-26 20:14:36,13220357416,Correios,10,10,10,10,10,10,8,10,10,10,10,8,8,8,10,8,10,9,9,10,10,10,60%,30%
b56Bde6,J99exb7,2025-09-27 11:29:01,14880740278,Correios,10,10,6,10,10,9,10,10,10,9,10,6,5,3,10,10,9,8,8,10,8,8,.,.
q4kx2pd,yPPdJOW,2025-09-27 14:28:08,478066645,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,3,3,8,7,6,Quantidade de transportadores e valores de frete.,"Não emite o documento fiscal corretamente, não entrega, ou devolve se efetivar a entrega."
D4MKKzZ,0QQk9AP,2025-09-28 13:23:33,7447432191,Jadlog,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,logistica eficiente,nenhum
q4vb29Y,BzzlR4Q,2025-09-29 19:12:18,14880645677,MelhorEnvio,7,8,9,8,8,8,8,9,9,9,9,8,8,8,8,8,8,8,9,9,9,9,hnjdghjn,dgjmkdghm
dWvPK9o,2EEg9R9,2025-09-30 01:47:53,590497365,Correios,10,10,8,10,10,7,10,10,10,5,10,4,4,6,9,7,9,6,6,9,7,9,Alcance nacional,"Pós-venda insatisfatório, funcionamento nem sempre perfeito, prazos grandes."
PdkX9bQ,rjjQ2GM,2025-09-30 12:40:51,14879912855,Correios,5,10,10,10,10,10,10,10,10,10,10,5,10,5,5,5,4,5,5,10,5,8,Coleta diária programada,"Atrasos na entrega, regras da ANAC"
b5v8DDE,kdd44Yr,2025-09-30 14:02:23,14879161369,Correios,10,9,8,10,10,8,10,10,10,7,10,7,7,6,8,9,8,6,5,8,7,4,"Como não tenho tantos pedidos os valores são altos e preciso ficar indo até um ponto, mas sem valor atrativo de frete complica aumentar as vendas","ir até o ponto de envio, falta de integração com o erp, quebra de produto"
MeMdPXX,obbNo0O,2025-09-30 16:56:21,2630353990,Azul CArgo,10,10,10,10,9,10,10,10,10,10,10,5,6,6,5,9,6,6,6,6,5,6,Coletas diarias! contato com trnsportadora de forma clara e rapida,"Atraso nas entregas, numeros de caixas danificadas no trajeto."
ZjDRgjB,9qq0vG5,2025-09-30 17:01:07,14879012722,Buslog,10,10,0,10,10,10,10,10,10,10,7,5,6,0,9,9,10,9,7,5,5,5,Menor preço e menor prazo nas regiões que a Buslog atende.,Cobre só sul e sudeste.
81MjbMP,7RR7YG0,2025-10-01 02:49:39,14879880672,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,8,7,5,7,7,9,7,8,10,7,10,FRETE BARATO,TEMPO DE ENTREGA
dWvkQyy,lbbEAXB,2025-10-01 12:40:01,35138351,Correios,9,9,7,10,10,9,10,10,8,7,10,7,8,7,6,7,9,9,9,8,8,10,capilaridade dos correios para entrega em locais remotos,"Atrasos, greves, devoluções por falta de comprometimento dos carteiros em achar o endereço do destinatário"
WO11Aok,811lbPx,2025-10-01 14:56:10,14879099101,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,7,7,7,8,9,8,8,6,10,8,7,"Facilidade para acessar, plataforma intuitiva e fácil para visualização. 
","Falta melhorar o rastreamento  e a possibilidade de mai lugares para postagem. 
"
MeMGAJk,jaaj6dx,2025-10-01 21:25:25,7091659111,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,2,5,5,7,7,3,0,2,10,5,3,Geração de etiquetas,Demora na resposta de problemas relacionado a envio
zxLg1d0,D44jlYE,2025-10-02 03:45:44,434984642,MelhorEnvio,9,10,7,7,10,10,10,10,10,10,10,3,1,1,7,5,7,1,1,1,1,1,Possibilidade de fazer cotações na integração.,Eu não posso levar cada venda a um ponto de coleta.
xXvoqjr,aQQWXGq,2025-10-02 09:22:39,261186269,Enviali,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Que saco essas pesquisas que não resolvem nada!,A Bling depois que foi vendida ficou insuportável
ODkyXN8,Zjjxx4v,2025-10-02 10:36:25,9774796664,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,simples,demora na resposta a tiket
b5vGYgo,rjj7azN,2025-10-02 11:57:45,14880126478,MelhorEnvio,10,8,9,10,10,10,10,10,10,7,10,5,5,3,3,9,3,8,7,5,7,5,a praticidade de tirar etiqueta dos marktplaces pelo bling ,"não tem uma variedade maior, não permite fazer cotação pelo frete peso, não da cubagem total da mercadoria no pedido "
5BM0rzb,D44r0a5,2025-10-03 10:04:42,10959078081,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,3,3,2,1,0,2,0,0,5,0,5,Sistema 100% funcional ,"E caso de problema com a transportadora, atraso, avaria, a melhor envio é a pior solução,
Necessário abrir chamado, pra eles entrar em contato com a transportadora, demora em torno de 4 dias, 4 dias cliente já cancelou a mercadoria.

Então, melhor envio apesar de ter um sistema eficiente, o suporte em caso de problema é o pior de todas."
RGkqeOP,VLpEzrJ,2025-10-03 14:13:35,6474384651,Correios,10,10,8,10,10,10,10,10,10,10,10,0,0,0,0,5,5,5,2,5,5,5,Não existe ponto positivo.,"Preço alto e demora na entrega. Não tenho opções na minha cidade para logisticas mais rápidas, tenho que me contentar com o serviço dos Correios."
obv8P2V,rjDy6y2,2025-10-03 14:27:36,14879706336,MelhorEnvio,10,10,10,10,10,10,10,10,10,10,10,7,7,7,8,8,8,8,8,8,8,8,prazo de entrega e tratamento de ocorrencias.,preços
