"Submission ID","Respondent ID","Submitted at","idEmpresa","idUsuario","isAdmin","plano","dataInscricao","Qual é a sua função na empresa?","Qual o volume de envios mensal da sua empresa?","Como a sua empresa realiza vendas atualmente??","Como você gerencia seus envios hoje?","Como você gerencia seus envios hoje? (Pelo painel do Bling / Melhor Envio)","Como você gerencia seus envios hoje? (Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo)","Como você gerencia seus envios hoje? (Via API / integração direta com sistema próprio)","Como você gerencia seus envios hoje? (Processo manual (planilha, ligação para transportadora, etc.))","Como você gerencia seus envios hoje? (Outro)","Importância - Reduzir o custo de frete por pedido sem comprometer o prazo de entrega","Satisfação - Reduzir o custo de frete por pedido sem comprometer o prazo de entrega","Importância - Aumentar a probabilidade de escolher a modalidade com melhor relação custo-prazo para cada pedido","Satisfação - Aumentar a probabilidade de escolher a modalidade com melhor relação custo-prazo para cada pedido","Importância - Reduzir a desvantagem de custo de frete em relação a concorrentes de maior porte","Satisfação - Reduzir a desvantagem de custo de frete em relação a concorrentes de maior porte","Importância - Reduzir o tempo perdido entre o recebimento do pedido e a emissão da etiqueta por falta de integração entre sistemas","Satisfação - Reduzir o tempo perdido entre o recebimento do pedido e a emissão da etiqueta por falta de integração entre sistemas","Importância - Reduzir o tempo gasto para emitir NF e etiqueta por pedido","Satisfação - Reduzir o tempo gasto para emitir NF e etiqueta por pedido","Importância - Reduzir o tempo para começar a operar a logística após a primeira configuração","Satisfação - Reduzir o tempo para começar a operar a logística após a primeira configuração","Importância - Reduzir interrupções no fluxo de expedição causadas por saldo insuficiente","Satisfação - Reduzir interrupções no fluxo de expedição causadas por saldo insuficiente","Importância - Reduzir o esforço manual no processamento de cada pedido na etapa de expedição","Satisfação - Reduzir o esforço manual no processamento de cada pedido na etapa de expedição","Importância - Reduzir o tempo gasto para gerenciar a expedição de diferentes CNPJs em paralelo","Satisfação - Reduzir o tempo gasto para gerenciar a expedição de diferentes CNPJs em paralelo","Importância - Reduzir a frequência de atrasos e falhas na coleta e no transporte dos pedidos","Satisfação - Reduzir a frequência de atrasos e falhas na coleta e no transporte dos pedidos","Importância - Reduzir a incerteza do cliente final sobre o status e a previsão de entrega do pedido","Satisfação - Reduzir a incerteza do cliente final sobre o status e a previsão de entrega do pedido","Importância - Reduzir a proporção de pedidos entregues fora do prazo prometido ao comprador","Satisfação - Reduzir a proporção de pedidos entregues fora do prazo prometido ao comprador","Importância - Reduzir o tempo para identificar pedidos com risco de atraso ou ocorrência antes do acionamento do comprador","Satisfação - Reduzir o tempo para identificar pedidos com risco de atraso ou ocorrência antes do acionamento do comprador","Importância - Reduzir o número de compradores sem resposta ou resolução em casos de problemas de entrega","Satisfação - Reduzir o número de compradores sem resposta ou resolução em casos de problemas de entrega","Importância - Reduzir o tempo para resolver ocorrências de atraso, extravio ou avaria após o acionamento do comprador","Satisfação - Reduzir o tempo para resolver ocorrências de atraso, extravio ou avaria após o acionamento do comprador","Importância - Reduzir o tempo para identificar qual transportadora ou rota está gerando mais problemas e custos","Satisfação - Reduzir o tempo para identificar qual transportadora ou rota está gerando mais problemas e custos","Importância - Reduzir o esforço para acionar e acompanhar uma transportadora em casos de ocorrência diretamente pelo sistema","Satisfação - Reduzir o esforço para acionar e acompanhar uma transportadora em casos de ocorrência diretamente pelo sistema"
"kbZPJWj","xXzVeaJ","2026-06-16 19:35:16","14879958735","14781598846","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Processo manual (planilha, ligação para transportadora, etc.)","true","false","false","true","false","10","10","9","9","7","9","9","10","10","9","10","6","9","7","10","4","8","10","9","9","9","9","9","5","9","7","8","5","7","5","8","6","8","7"
"jexVkNR","WOqJGPJ","2026-06-16 19:42:01","1821153876","1821153879","","","","Responsável Logístico/Expedição","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","true","true","false","false","false","10","10","10","9","9","9","9","9","9","10","9","9","9","10","9","9","10","9","10","10","10","9","9","9","9","9","9","9","9","10","10","10","10","10"
"kbZPxZr","jaMVB0Q","2026-06-16 20:04:38","14879846048","14781324523","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","8","10","7","10","7","10","9","10","8","10","8","10","7","10","6","10","8","10","8","10","7","10","7","10","7","10","9","10","3","10","9","10","5"
"bZOJ0Je","VLNG8X6","2026-06-16 21:10:31","14879598280","14780798743","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Processo manual (planilha, ligação para transportadora, etc.)","true","false","false","true","false","10","","10","10","10","10","10","10","5","5","10","10","10","10","10","10","5","5","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"xVZqak5","lbzBYVW","2026-06-16 22:04:32","14899652599","14784105734","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo, Pelo painel do Bling / Melhor Envio","true","true","false","false","false","10","10","10","10","10","10","10","7","10","7","10","8","10","8","10","7","5","5","10","10","10","6","10","7","10","6","10","8","10","10","10","7","10","7"
"Yjd6dLJ","80laVl","2026-06-16 22:27:09","660352014","660352015","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Mercado Envios/Shopee Express e tbm. pela GoFretes/Melhor envio","false","false","false","false","true","10","10","10","10","10","10","10","10","10","10","10","10","10","10","8","8","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Eq0Re9A","Gxb6Pvk","2026-06-17 00:22:35","14879516737","14780620839","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","8","10","7","10","6","8","7","7","7","8","8","10","6","8","5","6","6","7","7","7","7","7","7","6","6","7","7","7","7","7","7","10","5"
"4aj60jY","Gxb6PWz","2026-06-17 00:31:39","3814424381","3814424384","","","","Responsável Logístico/Expedição","Acima de 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","VAI TOMA NO CU! PLATAFORMA DE MERDA! 3 BUG ESTE MES! AINDA FICA MANDANDO PESQUISA! ACHA QUE TENHO TEMPO? SE FUDER!! COMO DESLIGA ESSAS PORRA DE BANNER DO SITE?? TODO DIA BANNER ENCHENDO O SACO!!!","false","false","false","false","true","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"jexRRB4","NpPrz8j","2026-06-17 00:56:56","9267877956","9267877957","","","","Proprietário(a) / Sócio(a)","Acima de 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","false","true","false","false","false","10","5","10","5","10","5","10","1","10","1","10","5","10","1","10","1","10","5","10","8","10","1","10","3","10","3","10","2","10","1","10","1","10","1"
"9Nlke7G","J9oq7Yo","2026-06-17 01:09:04","10138273191","10138273195","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Ambos os canais (online e offline)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","false","true","false","false","false","10","3","10","3","10","3","10","3","10","2","10","2","10","3","10","3","1","1","10","4","10","4","10","8","10","7","10","7","10","7","10","5","10","5"
"q5P9AX9","QK4MRxg","2026-06-17 02:43:23","7011724679","7011724680","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Processo manual (planilha, ligação para transportadora, etc.)","false","false","false","true","false","10","5","10","6","10","5","10","4","10","4","10","5","10","5","10","5","10","4","10","5","10","5","10","5","10","5","10","5","10","5","10","4","10","4"
"rDEeVM2","J9odA4d","2026-06-17 03:18:29","14879025053","14779330493","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","8","10","7","10","5","10","6","10","6","10","6","10","6","10","5","10","10","10","8","10","8","10","8","10","8","10","8","10","8","10","7","10","6"
"Qo0PXK1","dWkP1kq","2026-06-17 14:21:00","14902263728","14784325653","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Ge08VOL","D4apArl","2026-06-17 14:38:55","11253082091","11253082092","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo, Via API / integração direta com sistema próprio, Pelo painel do Bling / Melhor Envio","true","true","true","false","false","10","10","10","10","10","10","10","10","1","1","1","1","5","5","10","10","10","10","10","10","10","10","10","10","1","1","8","8","10","10","10","10","10","10"
"6Dxa06o","0Qk8Zyj","2026-06-17 14:42:33","14902264959","14784396712","","","","Responsável Logístico/Expedição","800 - 2.000 envios/mês","Ambos os canais (online e offline)","Via API / integração direta com sistema próprio","false","false","true","false","false","10","6","7","9","6","6","10","6","10","6","10","6","10","2","10","3","10","3","10","5","10","6","10","7","10","5","10","6","10","5","10","5","10","6"
"Nq0GZpN","NeZzzj","2026-06-17 14:50:00","9748267286","9748267288","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Processo manual (planilha, ligação para transportadora, etc.)","false","false","false","true","false","10","10","9","9","10","10","7","9","8","8","9","9","9","9","9","9","5","5","9","9","9","9","9","9","9","9","8","8","9","3","8","1","8","2"
"laRJJe6","81rL22r","2026-06-17 15:07:26","14880321949","14782405497","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Correios, Shopee, Mercado Livre e Tik Tok. Não utilizo Melhor envios e similares, nem pretendo.","false","false","false","false","true","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"aOG8eRv","Gxbpa8Z","2026-06-17 15:34:36","14880258435","14782269349","","","","Responsável Logístico/Expedição","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, agencia de coleta dos marketplaces e aplicativo do coreio, Processo manual (planilha, ligação para transportadora, etc.)","true","false","false","true","true","10","5","10","4","10","5","10","6","10","4","10","4","10","8","10","2","10","7","10","9","10","9","10","9","10","9","10","6","10","8","10","7","10","5"
"o9O4eRN","NGKbaj","2026-06-17 15:35:35","3105904576","3105904588","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Via API / integração direta com sistema próprio, CORREIOS","true","false","true","false","true","10","10","10","10","10","10","7","10","7","10","7","10","7","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Vp8k1YJ","Pdr9K2e","2026-06-17 16:20:15","14888011912","14783825573","","","","Responsável Logístico/Expedição","800 - 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","integração com marketplaces","false","false","false","false","true","8","10","7","8","8","8","10","10","10","10","8","8","8","8","10","10","7","7","7","7","7","7","7","7","7","7","10","10","10","10","7","7","7","7"
"jexO0r9","68PKaON","2026-06-17 16:25:20","14880075750","14781876122","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","true","true","false","false","false","1","1","10","6","10","5","10","4","10","9","5","5","5","5","10","4","10","1","10","7","10","4","10","7","10","1","10","1","10","1","10","1","10","6"
"M159vQA","b5ze0XL","2026-06-17 16:32:48","14880463061","14782691859","","","","Responsável Logístico/Expedição","Até 50 envios/mês","Ambos os canais (online e offline)","Processo manual (planilha, ligação para transportadora, etc.)","false","false","false","true","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"0VPpA2Z","NpP7q4N","2026-06-17 16:53:37","12847190736","12847190737","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Processo manual (planilha, ligação para transportadora, etc.)","true","false","false","true","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"laRP2gX","Pdrzzy1","2026-06-17 17:25:09","13995039217","13995039219","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","5","5","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Ge02Z0Z","MeVEbpY","2026-06-17 17:45:13","14902835285","14784474315","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Processo manual (planilha, ligação para transportadora, etc.), Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","false","true","false","true","false","10","10","10","10","10","10","8","8","8","8","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"M159W2l","RGjDzd4","2026-06-17 17:47:12","14879160492","14779732294","","","","Responsável Logístico/Expedição","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","10","10","10","7","10","7","10","6","10","8","10","3","10","7","6","6","10","9","10","8","10","9","10","8","10","8","10","8","10","7","10","4"
"Nq0eK00","Zje2l60","2026-06-17 18:06:39","2479407916","2479407919","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","5","10","10","10","7","10","8","10","10","10","10","10","7","10","8","10","5","10","10","10","10","10","9","10","10","10","9","10","8","10","8","10","8"
"Eq04jGA","pbzDGv8","2026-06-17 18:08:39","14880242501","14782231165","","","","Responsável Logístico/Expedição","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Processo manual (planilha, ligação para transportadora, etc.), Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","true","true","false","true","false","10","10","9","9","10","10","9","9","9","9","9","9","10","10","10","10","8","8","10","10","6","6","8","8","7","7","8","8","9","9","10","10","9","9"
"8Nevjlz","q4zRelG","2026-06-17 19:39:44","14880207509","14782143305","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"LD0Aor2","VLNz7EE","2026-06-17 20:08:00","7601528284","7601528285","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Processo manual (planilha, ligação para transportadora, etc.)","true","false","false","true","false","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1"
"LDX11Wl","ODEGDZa","2026-06-17 21:42:08","14879724990","14781053614","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","false","true","false","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","9","10","10","10","10","10","10","10","10","10","10","10","10","10"
"xV2xXVG","obOL9Jb","2026-06-17 21:46:48","8609879295","8609879296","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelas Plataformas","false","false","false","false","true","10","10","9","9","10","10","8","8","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"BEZ4kEA","J9WYVdX","2026-06-17 22:34:07","14880350907","14782462112","","","","Responsável Logístico/Expedição","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","9","10","9","10","9","10","9","10","8","10","9","10","8","10","9"
"2jL8k0V","Bze7Xk1","2026-06-17 22:58:50","14902383382","14784302183","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","7","10","7","4","7","5","7","3","7","7","7","3","3","6","7","8","4","10","6","10","6","10","5","8","7","9","7","9","7","10","7","8","7"
"Z9l5LPo","5BVxegZ","2026-06-18 00:51:02","14902176754","14784506159","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","9","9","9","10","9","10","9","5","5","10","9","7","7","9","9","5","5","10","9","9","9","10","9","9","9","9","9","9","9","9","9","9","9"
"X5ElXgY","1ARV5v4","2026-06-18 01:55:54","13875150486","13875150487","","","","Proprietário(a) / Sócio(a)","Acima de 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo, Pelo painel do Bling / Melhor Envio","true","true","false","false","false","10","10","10","10","10","10","7","7","8","8","1","1","6","6","10","10","1","1","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"dblbD9r","Ek6Q62r","2026-06-18 08:38:31","14879669890","14780943460","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","false","true","false","false","false","10","6","10","6","10","6","10","8","10","8","10","8","10","8","10","8","10","8","10","6","10","7","10","7","10","7","10","7","10","7","10","6","10","6"
"EqLqpb2","rjYA7yp","2026-06-18 10:35:08","9653363597","9653363600","","","","Administrativo","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo, Processo manual (planilha, ligação para transportadora, etc.)","true","true","false","true","false","10","7","10","7","10","7","10","7","7","7","7","7","7","7","10","7","1","1","10","5","10","5","10","5","10","5","10","5","10","5","10","5","10","2"
"Qod1epX","zxdqjx0","2026-06-18 11:26:53","8244513901","8244513902","","","","comercial e logístico","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","true","true","false","false","false","10","6","10","6","10","6","10","9","10","9","10","9","5","10","10","8","7","9","10","8","10","7","10","6","10","8","10","9","10","8","10","8","10","8"
"GeL6pDk","b5LX070","2026-06-18 11:29:56","14879821196","14781264502","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Via API / integração direta com sistema próprio","true","false","true","false","false","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"q5OLbEg","aQz64VZ","2026-06-18 11:53:03","8111595818","8111595819","","","","Responsável Logístico/Expedição","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","10","9","9","9","6","9","8","10","10","10","10","10","10","10","10","10"
"KpLzAJV","rjY62XX","2026-06-18 13:10:33","14880612007","14783089167","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Via API / integração direta com sistema próprio, Pelo painel do Bling / Melhor Envio","true","false","true","false","false","10","8","10","8","7","7","10","8","10","8","10","8","8","10","10","6","10","7","10","10","10","6","10","9","10","10","10","9","10","8","10","10","10","8"
"jeLZAp6","VLN04qE","2026-06-18 13:25:30","12110749270","12110749271","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Via API / integração direta com sistema próprio","false","false","true","false","false","10","10","10","10","6","6","10","10","10","10","10","10","10","10","10","10","1","1","10","10","10","10","8","8","10","10","10","10","10","10","10","10","10","10"
"PRlpoDP","Bz2kxgR","2026-06-18 13:38:01","574474065","574474066","","","","gerente","Acima de 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","8","10","10","8","10","10","8","10","10","10","10","10","10","10","10","5","5","10","10","10","10","10","10","10","10","10","4","10","5","10","3","10","2"
"4aLQeg5","81rK2Yr","2026-06-18 13:48:22","6565503582","6565503583","","","","Proprietário(a) / Sócio(a)","Acima de 2.000 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo, Via API / integração direta com sistema próprio, Processo manual (planilha, ligação para transportadora, etc.)","true","true","true","true","false","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"o9oDE5X","81rKgpO","2026-06-18 14:09:02","724015100","724015101","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Ambos os canais (online e offline)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","false","true","false","false","false","8","8","8","8","8","8","5","5","5","5","5","5","1","1","5","5","1","1","5","5","10","5","10","5","10","5","10","5","10","5","5","5","10","5"
"rDVBOL5","q2QXld","2026-06-18 14:19:44","3307926079","3307926082","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","6","10","4","10","5","8","6","8","6","5","5","5","5","5","5","5","5","10","3","10","3","5","5","5","5","10","1","10","1","10","1","10","1"
"vX4eB8v","A77o1xo","2026-06-18 17:38:31","14879604103","14780808979","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","7","10","7","10","7","10","8","10","8","10","8","10","8","10","8","10","8","10","7","10","7","10","7","10","6","10","8","10","6","10","6","10","6"
"Dq5kx2X","gKy7Rd","2026-06-18 18:16:00","2790969886","2790969889","","","","Proprietário(a) / Sócio(a)","Acima de 2.000 envios/mês","Ambos os canais (online e offline)","Via API / integração direta com sistema próprio, Pelo painel do Bling / Melhor Envio","true","false","true","false","false","10","7","10","6","10","7","10","4","10","6","10","7","10","5","10","4","10","1","10","7","10","7","10","7","10","6","10","7","10","5","10","8","10","7"
"EqLdGxN","QKxv1k7","2026-06-18 19:08:42","13936766877","13936766878","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo","false","true","false","false","false","10","8","10","8","9","8","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"PRl9DB1","KqrzQA","2026-06-18 20:29:55","2153494808","2153494811","","","","Proprietário(a) / Sócio(a)","Acima de 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","10","8","10","10","8","8","8","7","7","7","8","8","10","10","5","5","10","10","6","6","6","6","7","7","8","8","8","8","8","8","8","8"
"gbLqyaD","QKARkyY","2026-06-19 00:27:16","14880264548","14782283545","","","","Proprietário(a) / Sócio(a)","Acima de 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo, Processo manual (planilha, ligação para transportadora, etc.)","true","true","false","true","false","9","9","10","10","10","10","10","10","9","9","9","9","9","9","10","10","10","10","10","10","9","9","10","10","10","10","9","9","9","9","10","10","10","10"
"EqLQJeB","jazLPrQ","2026-06-19 11:23:49","415837783","415837784","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","7","10","8","10","6","10","7","10","8","10","6","10","4","10","7","6","7","10","7","10","7","10","8","10","6","10","5","10","5","10","4","10","3"
"dblxZoy","Dlx7rq","2026-06-19 11:33:21","13074652843","13074652849","","","","Proprietário(a) / Sócio(a)","Acima de 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","10","10","10","10","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1","10","1"
"VpV5kDa","lbzL4eV","2026-06-19 13:08:02","5796934381","5796934382","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","6","10","5","10","6","10","6","10","6","10","7","10","5","10","1","10","10","10","6","10","7","10","7","10","7","10","7","10","6","10","5","10","5"
"GeLzKzj","7REo5kP","2026-06-19 13:29:59","14879104078","14779568039","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio, Usando outras plataformas (Frenet, Mandaê, etc.) em paralelo, logistica shopee","true","true","false","false","true","10","10","8","9","10","10","10","10","10","10","9","9","10","10","10","10","10","10","10","10","8","8","9","9","10","9","10","9","10","10","10","9","9","9"
"xV2pLY5","lbzWadX","2026-06-19 15:07:28","14879040116","14779373214","","","","Proprietário(a) / Sócio(a)","50 - 800 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","6","8","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"4aL8Ylo","VLNYGkj","2026-06-19 15:17:08","14879744085","14781094351","","","","Proprietário(a) / Sócio(a)","Até 50 envios/mês","Apenas online (e-commerce, redes sociais, marketplaces etc.)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","8","9","8","10","9","10","10","10","10","10","10","10","10","10","10","10","10","10","9","10","10","10","9","10","9","9","9","10","9","10","9","10","9"
"6DR7BWk","GxbDpXo","2026-06-19 15:31:13","6176720189","6176720190","","","","Proprietário(a) / Sócio(a)","800 - 2.000 envios/mês","Ambos os canais (online e offline)","Pelo painel do Bling / Melhor Envio","true","false","false","false","false","10","10","10","9","10","10","10","8","10","9","10","7","10","6","10","8","10","7","10","5","10","6","10","8","10","5","10","5","10","5","10","4","10","4"
